label	ref	unit	pin_num	abs_x	abs_y	orient
CC_INT_N	J3	4	D19	12600	16350	R
CC_RESET_OUT_N	J1	3	C46	9900	8050	L
CC_SCL	J3	2	B1	5600	14550	R
CC_SDA	J3	3	C1	9100	14550	R
FMC_3P3V	J4	3	C39	19950	17150	R
FMC_3P3V	J4	4	D36	20000	21550	R
FMC_3P3V	J4	4	D38	20000	21750	R
FMC_3P3V	J4	4	D40	20000	21950	R
FMC_A02_DP1_M2C_P	J4	1	A2	18000	13450	R
FMC_A03_DP1_M2C_N	J4	1	A3	18000	13550	R
FMC_A06_DP2_M2C_P	J4	1	A6	18000	13850	R
FMC_A07_DP2_M2C_N	J4	1	A7	18000	13950	R
FMC_A10_DP3_M2C_P	J4	1	A10	18000	14250	R
FMC_A11_DP3_M2C_N	J4	1	A11	18000	14350	R
FMC_A22_DP1_C2M_P	J4	1	A22	18000	15450	R
FMC_A23_DP1_C2M_N	J4	1	A23	18000	15550	R
FMC_A26_DP2_C2M_P	J4	1	A26	18000	15850	R
FMC_A27_DP2_C2M_N	J4	1	A27	18000	15950	R
FMC_A30_DP3_C2M_P	J4	1	A30	18000	16250	R
FMC_A31_DP3_C2M_N	J4	1	A31	18000	16350	R
FMC_B20_GBTCLK1_M2C_P	J4	2	B20	18100	19950	R
FMC_B21_GBTCLK1_M2C_N	J4	2	B21	18100	20050	R
FMC_C02_DP0_C2M_P	J4	3	C2	19950	13450	R
FMC_C03_DP0_C2M_N	J4	3	C3	19950	13550	R
FMC_C06_DP0_M2C_P	J4	3	C6	19950	13850	R
FMC_C07_DP0_M2C_N	J4	3	C7	19950	13950	R
FMC_C10_LA06_P	J4	3	C10	19950	14250	R
FMC_C11_LA06_N	J4	3	C11	19950	14350	R
FMC_C18_LA14_P	J4	3	C18	19950	15050	R
FMC_C19_LA14_N	J4	3	C19	19950	15150	R
FMC_C22_LA18_CC_P	J4	3	C22	19950	15450	R
FMC_C23_LA18_CC_N	J4	3	C23	19950	15550	R
FMC_D04_GBTCLK0_M2C_P	J4	4	D4	20000	18350	R
FMC_D05_GBTCLK0_M2C_N	J4	4	D5	20000	18450	R
FMC_D08_LA01_CC_P	J4	4	D8	20000	18750	R
FMC_D09_LA01_CC_N	J4	4	D9	20000	18850	R
FMC_D14_LA09_P	J4	4	D14	20000	19350	R
FMC_D15_LA09_N	J4	4	D15	20000	19450	R
FMC_D17_LA13_P	J4	4	D17	20000	19650	R
FMC_D18_LA13_N	J4	4	D18	20000	19750	R
FMC_D26_LA26_P	J4	4	D26	20000	20550	R
FMC_D27_LA26_N	J4	4	D27	20000	20650	R
FMC_G06_LA00_CC_P	J4	7	G6	23800	13950	R
FMC_G07_LA00_CC_N	J4	7	G7	23800	14050	R
FMC_G09_LA03_P	J4	7	G9	23800	14250	R
FMC_G10_LA03_N	J4	7	G10	23800	14350	R
FMC_G12_LA08_P	J4	7	G12	23800	14550	R
FMC_G15_LA12_P	J4	7	G15	23800	14850	R
